ID,Text,Score,Sentiment
1,I love this product it is excellent,2,Positive
2,The service is good and nice,2,Positive
3,I hate this terrible thing,-2,Negative
4,The service is good and nice,2,Positive
5,The service is good and nice,2,Positive
6,This is the worst experience ever,-1,Negative
7,This is bad and poor quality,-2,Negative
8,This is bad and poor quality,-2,Negative
9,This is the worst experience ever,-1,Negative
10,This is bad and poor quality,-2,Negative
11,This is the worst experience ever,-1,Negative
12,The service is good and nice,2,Positive
13,I hate this terrible thing,-2,Negative
14,I love this product it is excellent,2,Positive
15,This is the worst experience ever,-1,Negative
16,This is bad and poor quality,-2,Negative
17,This is the worst experience ever,-1,Negative
18,I love this product it is excellent,2,Positive
19,The service is good and nice,2,Positive
20,The service is good and nice,2,Positive
21,What a great performance,1,Positive
22,The service is good and nice,2,Positive
23,This is the worst experience ever,-1,Negative
24,This is the worst experience ever,-1,Negative
25,This is bad and poor quality,-2,Negative
26,This is the worst experience ever,-1,Negative
27,I hate this terrible thing,-2,Negative
28,It is an average day,0,Neutral
29,This is bad and poor quality,-2,Negative
30,The service is good and nice,2,Positive
31,This is the worst experience ever,-1,Negative
32,It is an average day,0,Neutral
33,The service is good and nice,2,Positive
34,I love this product it is excellent,2,Positive
35,This is the worst experience ever,-1,Negative
36,This is bad and poor quality,-2,Negative
37,This is bad and poor quality,-2,Negative
38,This is the worst experience ever,-1,Negative
39,This is bad and poor quality,-2,Negative
40,It is an average day,0,Neutral
41,What a great performance,1,Positive
42,This is the worst experience ever,-1,Negative
43,This is bad and poor quality,-2,Negative
44,This is the worst experience ever,-1,Negative
45,The service is good and nice,2,Positive
46,What a great performance,1,Positive
47,I hate this terrible thing,-2,Negative
48,The service is good and nice,2,Positive
49,It is an average day,0,Neutral
50,It is an average day,0,Neutral
51,What a great performance,1,Positive
52,What a great performance,1,Positive
53,This is the worst experience ever,-1,Negative
54,It is an average day,0,Neutral
55,It is an average day,0,Neutral
56,The service is good and nice,2,Positive
57,This is bad and poor quality,-2,Negative
58,It is an average day,0,Neutral
59,The service is good and nice,2,Positive
60,This is bad and poor quality,-2,Negative
61,What a great performance,1,Positive
62,This is bad and poor quality,-2,Negative
63,I love this product it is excellent,2,Positive
64,What a great performance,1,Positive
65,This is bad and poor quality,-2,Negative
66,The service is good and nice,2,Positive
67,It is an average day,0,Neutral
68,This is bad and poor quality,-2,Negative
69,What a great performance,1,Positive
70,This is the worst experience ever,-1,Negative
71,I hate this terrible thing,-2,Negative
72,I love this product it is excellent,2,Positive
73,I hate this terrible thing,-2,Negative
74,It is an average day,0,Neutral
75,This is bad and poor quality,-2,Negative
76,It is an average day,0,Neutral
77,It is an average day,0,Neutral
78,I love this product it is excellent,2,Positive
79,It is an average day,0,Neutral
80,I love this product it is excellent,2,Positive
81,I love this product it is excellent,2,Positive
82,The service is good and nice,2,Positive
83,This is bad and poor quality,-2,Negative
84,The service is good and nice,2,Positive
85,This is bad and poor quality,-2,Negative
86,The service is good and nice,2,Positive
87,I love this product it is excellent,2,Positive
88,This is the worst experience ever,-1,Negative
89,What a great performance,1,Positive
90,This is bad and poor quality,-2,Negative
91,I hate this terrible thing,-2,Negative
92,I hate this terrible thing,-2,Negative
93,This is bad and poor quality,-2,Negative
94,I hate this terrible thing,-2,Negative
95,It is an average day,0,Neutral
96,The service is good and nice,2,Positive
97,What a great performance,1,Positive
98,This is the worst experience ever,-1,Negative
99,This is the worst experience ever,-1,Negative
100,I hate this terrible thing,-2,Negative
101,This is the worst experience ever,-1,Negative
102,I hate this terrible thing,-2,Negative
103,This is the worst experience ever,-1,Negative
104,The service is good and nice,2,Positive
105,What a great performance,1,Positive
106,I love this product it is excellent,2,Positive
107,It is an average day,0,Neutral
108,I hate this terrible thing,-2,Negative
109,This is the worst experience ever,-1,Negative
110,This is bad and poor quality,-2,Negative
111,It is an average day,0,Neutral
112,What a great performance,1,Positive
113,I hate this terrible thing,-2,Negative
114,I love this product it is excellent,2,Positive
115,It is an average day,0,Neutral
116,The service is good and nice,2,Positive
117,I love this product it is excellent,2,Positive
118,I hate this terrible thing,-2,Negative
119,I hate this terrible thing,-2,Negative
120,This is bad and poor quality,-2,Negative
121,What a great performance,1,Positive
122,This is the worst experience ever,-1,Negative
123,This is bad and poor quality,-2,Negative
124,It is an average day,0,Neutral
125,The service is good and nice,2,Positive
126,I hate this terrible thing,-2,Negative
127,I hate this terrible thing,-2,Negative
128,It is an average day,0,Neutral
129,I love this product it is excellent,2,Positive
130,What a great performance,1,Positive
131,This is the worst experience ever,-1,Negative
132,I love this product it is excellent,2,Positive
133,I hate this terrible thing,-2,Negative
134,I hate this terrible thing,-2,Negative
135,This is bad and poor quality,-2,Negative
136,This is bad and poor quality,-2,Negative
137,This is the worst experience ever,-1,Negative
138,This is bad and poor quality,-2,Negative
139,It is an average day,0,Neutral
140,It is an average day,0,Neutral
141,The service is good and nice,2,Positive
142,This is the worst experience ever,-1,Negative
143,I hate this terrible thing,-2,Negative
144,I hate this terrible thing,-2,Negative
145,This is the worst experience ever,-1,Negative
146,This is bad and poor quality,-2,Negative
147,I love this product it is excellent,2,Positive
